'',GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
320,Shot Chart Detail,0022300686,556,1628374,Lauri Markkanen,1610612762,Utah Jazz,4,6,11,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-228,-10,1,1,20240201,UTA,PHI
321,Shot Chart Detail,0022300686,568,1628374,Lauri Markkanen,1610612762,Utah Jazz,4,5,4,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,50,178,1,1,20240201,UTA,PHI
322,Shot Chart Detail,0022300686,589,1628374,Lauri Markkanen,1610612762,Utah Jazz,4,3,12,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,192,171,1,1,20240201,UTA,PHI
323,Shot Chart Detail,0022300711,13,1628374,Lauri Markkanen,1610612762,Utah Jazz,1,10,22,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-200,146,1,1,20240204,UTA,MIL
324,Shot Chart Detail,0022300711,72,1628374,Lauri Markkanen,1610612762,Utah Jazz,1,5,32,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,113,253,1,1,20240204,UTA,MIL
325,Shot Chart Detail,0022300711,87,1628374,Lauri Markkanen,1610612762,Utah Jazz,1,4,39,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,9,1,1,20240204,UTA,MIL
326,Shot Chart Detail,0022300711,296,1628374,Lauri Markkanen,1610612762,Utah Jazz,2,1,46,Made Shot,Cutting Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,44,15,1,1,20240204,UTA,MIL
327,Shot Chart Detail,0022300711,309,1628374,Lauri Markkanen,1610612762,Utah Jazz,2,0,53,Made Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-27,262,1,1,20240204,UTA,MIL
328,Shot Chart Detail,0022300711,497,1628374,Lauri Markkanen,1610612762,Utah Jazz,4,11,21,Made Shot,Alley Oop Layup shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-32,25,1,1,20240204,UTA,MIL
329,Shot Chart Detail,0022300711,507,1628374,Lauri Markkanen,1610612762,Utah Jazz,4,10,10,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,225,12,1,1,20240204,UTA,MIL
330,Shot Chart Detail,0022300711,551,1628374,Lauri Markkanen,1610612762,Utah Jazz,4,6,26,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-234,89,1,1,20240204,UTA,MIL
331,Shot Chart Detail,0022300724,18,1628374,Lauri Markkanen,1610612762,Utah Jazz,1,10,38,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,29,254,1,1,20240206,UTA,OKC
332,Shot Chart Detail,0022300724,92,1628374,Lauri Markkanen,1610612762,Utah Jazz,1,4,55,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,2,80,1,1,20240206,UTA,OKC
333,Shot Chart Detail,0022300724,114,1628374,Lauri Markkanen,1610612762,Utah Jazz,1,3,29,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-4,46,1,1,20240206,UTA,OKC
334,Shot Chart Detail,0022300724,130,1628374,Lauri Markkanen,1610612762,Utah Jazz,1,1,16,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,1,1,1,20240206,UTA,OKC
335,Shot Chart Detail,0022300724,332,1628374,Lauri Markkanen,1610612762,Utah Jazz,3,11,47,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,230,24,1,1,20240206,UTA,OKC
336,Shot Chart Detail,0022300724,340,1628374,Lauri Markkanen,1610612762,Utah Jazz,3,10,34,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-124,137,1,1,20240206,UTA,OKC
337,Shot Chart Detail,0022300724,392,1628374,Lauri Markkanen,1610612762,Utah Jazz,3,5,46,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,23,55,1,1,20240206,UTA,OKC
338,Shot Chart Detail,0022300724,397,1628374,Lauri Markkanen,1610612762,Utah Jazz,3,5,10,Made Shot,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20240206,UTA,OKC
339,Shot Chart Detail,0022300724,413,1628374,Lauri Markkanen,1610612762,Utah Jazz,3,4,31,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,119,252,1,1,20240206,UTA,OKC
340,Shot Chart Detail,0022300724,450,1628374,Lauri Markkanen,1610612762,Utah Jazz,3,1,39,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-185,164,1,1,20240206,UTA,OKC
341,Shot Chart Detail,0022300724,647,1628374,Lauri Markkanen,1610612762,Utah Jazz,4,1,9,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,107,169,1,1,20240206,UTA,OKC
342,Shot Chart Detail,0022300724,655,1628374,Lauri Markkanen,1610612762,Utah Jazz,4,0,43,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-138,209,1,1,20240206,UTA,OKC
343,Shot Chart Detail,0022300739,26,1628374,Lauri Markkanen,1610612762,Utah Jazz,1,9,46,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,47,101,1,1,20240208,PHX,UTA
344,Shot Chart Detail,0022300739,247,1628374,Lauri Markkanen,1610612762,Utah Jazz,2,6,18,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-38,152,1,1,20240208,PHX,UTA
345,Shot Chart Detail,0022300739,253,1628374,Lauri Markkanen,1610612762,Utah Jazz,2,5,45,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-16,13,1,1,20240208,PHX,UTA
346,Shot Chart Detail,0022300739,291,1628374,Lauri Markkanen,1610612762,Utah Jazz,2,3,36,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-229,68,1,1,20240208,PHX,UTA
347,Shot Chart Detail,0022300739,357,1628374,Lauri Markkanen,1610612762,Utah Jazz,3,10,53,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,33,50,1,1,20240208,PHX,UTA
348,Shot Chart Detail,0022300739,410,1628374,Lauri Markkanen,1610612762,Utah Jazz,3,5,59,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-196,166,1,1,20240208,PHX,UTA
349,Shot Chart Detail,0022300739,457,1628374,Lauri Markkanen,1610612762,Utah Jazz,3,1,54,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,16,96,1,1,20240208,PHX,UTA
350,Shot Chart Detail,0022300739,639,1628374,Lauri Markkanen,1610612762,Utah Jazz,4,2,7,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,5,8,1,1,20240208,PHX,UTA
351,Shot Chart Detail,0022300769,213,1628374,Lauri Markkanen,1610612762,Utah Jazz,2,8,16,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,21,180,122,1,1,20240212,UTA,GSW
352,Shot Chart Detail,0022300769,224,1628374,Lauri Markkanen,1610612762,Utah Jazz,2,7,32,Made Shot,Cutting Dunk Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,5,50,1,1,20240212,UTA,GSW
353,Shot Chart Detail,0022300769,277,1628374,Lauri Markkanen,1610612762,Utah Jazz,2,4,4,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,34,20,1,1,20240212,UTA,GSW
354,Shot Chart Detail,0022300769,343,1628374,Lauri Markkanen,1610612762,Utah Jazz,3,10,34,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-218,137,1,1,20240212,UTA,GSW
355,Shot Chart Detail,0022300769,398,1628374,Lauri Markkanen,1610612762,Utah Jazz,3,6,9,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-18,26,1,1,20240212,UTA,GSW
356,Shot Chart Detail,0022300769,544,1628374,Lauri Markkanen,1610612762,Utah Jazz,4,8,40,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-45,260,1,1,20240212,UTA,GSW
357,Shot Chart Detail,0022300769,594,1628374,Lauri Markkanen,1610612762,Utah Jazz,4,5,19,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,28,-210,193,1,1,20240212,UTA,GSW
358,Shot Chart Detail,0022300769,614,1628374,Lauri Markkanen,1610612762,Utah Jazz,4,3,50,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,16,13,1,1,20240212,UTA,GSW
359,Shot Chart Detail,0022300788,22,1628374,Lauri Markkanen,1610612762,Utah Jazz,1,10,3,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,23,110,1,1,20240214,UTA,LAL
360,Shot Chart Detail,0022300788,77,1628374,Lauri Markkanen,1610612762,Utah Jazz,1,6,18,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20240214,UTA,LAL
361,Shot Chart Detail,0022300788,213,1628374,Lauri Markkanen,1610612762,Utah Jazz,2,8,48,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,143,207,1,1,20240214,UTA,LAL
362,Shot Chart Detail,0022300788,302,1628374,Lauri Markkanen,1610612762,Utah Jazz,2,2,16,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-31,18,1,1,20240214,UTA,LAL
363,Shot Chart Detail,0022300788,309,1628374,Lauri Markkanen,1610612762,Utah Jazz,2,1,43,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-86,148,1,1,20240214,UTA,LAL
364,Shot Chart Detail,0022300788,520,1628374,Lauri Markkanen,1610612762,Utah Jazz,4,10,7,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,207,180,1,1,20240214,UTA,LAL
365,Shot Chart Detail,0022300801,9,1628374,Lauri Markkanen,1610612762,Utah Jazz,1,11,27,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,207,157,1,1,20240222,UTA,CHA
366,Shot Chart Detail,0022300801,38,1628374,Lauri Markkanen,1610612762,Utah Jazz,1,9,5,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-12,36,1,1,20240222,UTA,CHA
367,Shot Chart Detail,0022300801,155,1628374,Lauri Markkanen,1610612762,Utah Jazz,1,0,49,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,25,-8,1,1,20240222,UTA,CHA
368,Shot Chart Detail,0022300801,333,1628374,Lauri Markkanen,1610612762,Utah Jazz,2,0,8,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,9,53,80,1,1,20240222,UTA,CHA
369,Shot Chart Detail,0022300801,622,1628374,Lauri Markkanen,1610612762,Utah Jazz,4,4,30,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,64,249,1,1,20240222,UTA,CHA
370,Shot Chart Detail,0022300825,54,1628374,Lauri Markkanen,1610612762,Utah Jazz,1,8,51,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,42,256,1,1,20240225,UTA,SAS
371,Shot Chart Detail,0022300825,140,1628374,Lauri Markkanen,1610612762,Utah Jazz,1,2,20,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,185,179,1,1,20240225,UTA,SAS
372,Shot Chart Detail,0022300825,149,1628374,Lauri Markkanen,1610612762,Utah Jazz,1,1,47,Made Shot,Turnaround Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,13,34,1,1,20240225,UTA,SAS
373,Shot Chart Detail,0022300825,163,1628374,Lauri Markkanen,1610612762,Utah Jazz,1,0,42,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,15,16,1,1,20240225,UTA,SAS
374,Shot Chart Detail,0022300825,177,1628374,Lauri Markkanen,1610612762,Utah Jazz,2,11,29,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,1,21,1,1,20240225,UTA,SAS
375,Shot Chart Detail,0022300825,410,1628374,Lauri Markkanen,1610612762,Utah Jazz,3,7,31,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,49,73,1,1,20240225,UTA,SAS
376,Shot Chart Detail,0022300825,526,1628374,Lauri Markkanen,1610612762,Utah Jazz,3,0,52,Made Shot,Running Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-230,28,1,1,20240225,UTA,SAS
377,Shot Chart Detail,0022300825,571,1628374,Lauri Markkanen,1610612762,Utah Jazz,4,9,18,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-143,239,1,1,20240225,UTA,SAS
378,Shot Chart Detail,0022300825,636,1628374,Lauri Markkanen,1610612762,Utah Jazz,4,5,15,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,66,260,1,1,20240225,UTA,SAS
379,Shot Chart Detail,0022300825,660,1628374,Lauri Markkanen,1610612762,Utah Jazz,4,2,51,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,29,10,1,1,20240225,UTA,SAS
380,Shot Chart Detail,0022300835,148,1628374,Lauri Markkanen,1610612762,Utah Jazz,1,0,39,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-2,20,1,1,20240227,ATL,UTA
381,Shot Chart Detail,0022300835,163,1628374,Lauri Markkanen,1610612762,Utah Jazz,2,11,29,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,13,38,1,1,20240227,ATL,UTA
382,Shot Chart Detail,0022300835,217,1628374,Lauri Markkanen,1610612762,Utah Jazz,2,7,33,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20240227,ATL,UTA
383,Shot Chart Detail,0022300835,249,1628374,Lauri Markkanen,1610612762,Utah Jazz,2,2,44,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-17,7,1,1,20240227,ATL,UTA
384,Shot Chart Detail,0022300850,32,1628374,Lauri Markkanen,1610612762,Utah Jazz,1,8,44,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-6,267,1,1,20240229,ORL,UTA
385,Shot Chart Detail,0022300850,254,1628374,Lauri Markkanen,1610612762,Utah Jazz,2,5,15,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-190,174,1,1,20240229,ORL,UTA
386,Shot Chart Detail,0022300850,313,1628374,Lauri Markkanen,1610612762,Utah Jazz,2,0,13,Made Shot,Running Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-235,-7,1,1,20240229,ORL,UTA
387,Shot Chart Detail,0022300850,388,1628374,Lauri Markkanen,1610612762,Utah Jazz,3,6,13,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-169,206,1,1,20240229,ORL,UTA
388,Shot Chart Detail,0022300850,430,1628374,Lauri Markkanen,1610612762,Utah Jazz,3,2,44,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,5,44,1,1,20240229,ORL,UTA
389,Shot Chart Detail,0022300850,559,1628374,Lauri Markkanen,1610612762,Utah Jazz,4,4,56,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,6,1,1,20240229,ORL,UTA
390,Shot Chart Detail,0022300867,49,1628374,Lauri Markkanen,1610612762,Utah Jazz,1,6,44,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,175,199,1,1,20240302,MIA,UTA
391,Shot Chart Detail,0022300867,153,1628374,Lauri Markkanen,1610612762,Utah Jazz,1,0,45,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-227,56,1,1,20240302,MIA,UTA
392,Shot Chart Detail,0022300867,581,1628374,Lauri Markkanen,1610612762,Utah Jazz,4,5,9,Made Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-172,188,1,1,20240302,MIA,UTA
393,Shot Chart Detail,0022300867,626,1628374,Lauri Markkanen,1610612762,Utah Jazz,4,2,17,Made Shot,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,0,1,1,20240302,MIA,UTA
394,Shot Chart Detail,0022300867,638,1628374,Lauri Markkanen,1610612762,Utah Jazz,4,1,1,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,115,222,1,1,20240302,MIA,UTA
395,Shot Chart Detail,0022300987,11,1628374,Lauri Markkanen,1610612762,Utah Jazz,1,11,11,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,192,168,1,1,20240318,UTA,MIN
396,Shot Chart Detail,0022300987,159,1628374,Lauri Markkanen,1610612762,Utah Jazz,2,11,21,Made Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-45,13,1,1,20240318,UTA,MIN
397,Shot Chart Detail,0022300987,165,1628374,Lauri Markkanen,1610612762,Utah Jazz,2,10,40,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,28,34,1,1,20240318,UTA,MIN
398,Shot Chart Detail,0022300987,287,1628374,Lauri Markkanen,1610612762,Utah Jazz,2,0,0,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,9,72,61,1,1,20240318,UTA,MIN
399,Shot Chart Detail,0022300987,308,1628374,Lauri Markkanen,1610612762,Utah Jazz,3,10,43,Made Shot,Driving Dunk Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,13,41,1,1,20240318,UTA,MIN
400,Shot Chart Detail,0022300987,343,1628374,Lauri Markkanen,1610612762,Utah Jazz,3,7,58,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20240318,UTA,MIN
401,Shot Chart Detail,0022300987,485,1628374,Lauri Markkanen,1610612762,Utah Jazz,4,9,42,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-42,26,1,1,20240318,UTA,MIN
402,Shot Chart Detail,0022300987,545,1628374,Lauri Markkanen,1610612762,Utah Jazz,4,5,22,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-22,57,1,1,20240318,UTA,MIN
403,Shot Chart Detail,0022301008,15,1628374,Lauri Markkanen,1610612762,Utah Jazz,1,10,47,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-134,16,1,1,20240321,DAL,UTA
404,Shot Chart Detail,0022301008,121,1628374,Lauri Markkanen,1610612762,Utah Jazz,1,2,39,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,77,18,1,1,20240321,DAL,UTA
405,Shot Chart Detail,0022301008,155,1628374,Lauri Markkanen,1610612762,Utah Jazz,1,0,21,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,192,151,1,1,20240321,DAL,UTA
406,Shot Chart Detail,0022301008,368,1628374,Lauri Markkanen,1610612762,Utah Jazz,3,9,49,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,15,1,1,20240321,DAL,UTA
407,Shot Chart Detail,0022301008,484,1628374,Lauri Markkanen,1610612762,Utah Jazz,3,1,14,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-2,46,1,1,20240321,DAL,UTA
408,Shot Chart Detail,0022301008,592,1628374,Lauri Markkanen,1610612762,Utah Jazz,4,6,50,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,13,32,1,1,20240321,DAL,UTA
409,Shot Chart Detail,0022301041,11,1628374,Lauri Markkanen,1610612762,Utah Jazz,1,11,29,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,80,251,1,1,20240325,UTA,DAL
410,Shot Chart Detail,0022301041,70,1628374,Lauri Markkanen,1610612762,Utah Jazz,1,6,37,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20240325,UTA,DAL
411,Shot Chart Detail,0022301041,188,1628374,Lauri Markkanen,1610612762,Utah Jazz,2,10,54,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-217,167,1,1,20240325,UTA,DAL
412,Shot Chart Detail,0022301041,198,1628374,Lauri Markkanen,1610612762,Utah Jazz,2,10,19,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,40,12,1,1,20240325,UTA,DAL
413,Shot Chart Detail,0022301041,212,1628374,Lauri Markkanen,1610612762,Utah Jazz,2,9,6,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,28,-191,217,1,1,20240325,UTA,DAL
414,Shot Chart Detail,0022301041,332,1628374,Lauri Markkanen,1610612762,Utah Jazz,2,0,31,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-211,142,1,1,20240325,UTA,DAL
415,Shot Chart Detail,0022301041,370,1628374,Lauri Markkanen,1610612762,Utah Jazz,3,9,51,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,190,173,1,1,20240325,UTA,DAL
416,Shot Chart Detail,0022301041,383,1628374,Lauri Markkanen,1610612762,Utah Jazz,3,8,25,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-93,155,1,1,20240325,UTA,DAL
417,Shot Chart Detail,0022301041,386,1628374,Lauri Markkanen,1610612762,Utah Jazz,3,7,49,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-228,17,1,1,20240325,UTA,DAL
418,Shot Chart Detail,0022301041,457,1628374,Lauri Markkanen,1610612762,Utah Jazz,3,3,16,Made Shot,Running Dunk Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,40,22,1,1,20240325,UTA,DAL
419,Shot Chart Detail,0022301058,272,1628374,Lauri Markkanen,1610612762,Utah Jazz,2,4,29,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-147,208,1,1,20240327,UTA,SAS
420,Shot Chart Detail,0022301058,310,1628374,Lauri Markkanen,1610612762,Utah Jazz,2,1,32,Made Shot,Driving Dunk Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,38,32,1,1,20240327,UTA,SAS
421,Shot Chart Detail,0022301058,313,1628374,Lauri Markkanen,1610612762,Utah Jazz,2,1,6,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-33,3,1,1,20240327,UTA,SAS
422,Shot Chart Detail,0022301058,317,1628374,Lauri Markkanen,1610612762,Utah Jazz,2,0,34,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-38,248,1,1,20240327,UTA,SAS
423,Shot Chart Detail,0022301058,412,1628374,Lauri Markkanen,1610612762,Utah Jazz,3,5,11,Made Shot,Driving Reverse Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-6,11,1,1,20240327,UTA,SAS
424,Shot Chart Detail,0022301058,506,1628374,Lauri Markkanen,1610612762,Utah Jazz,4,11,9,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-29,47,1,1,20240327,UTA,SAS
425,Shot Chart Detail,0022301058,555,1628374,Lauri Markkanen,1610612762,Utah Jazz,4,7,37,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-29,22,1,1,20240327,UTA,SAS
426,Shot Chart Detail,0022301058,644,1628374,Lauri Markkanen,1610612762,Utah Jazz,4,0,23,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,103,251,1,1,20240327,UTA,SAS
